N,A,B,B,A,T,%,hPa,Balanza
1,1.00000,1.00082,1.00075,1.00000,26.0,82,858,4
2,1.00000,1.00078,1.00077,1.00004,26.1,82,858,4
3,1.00006,1.00078,1.00083,1.00009,26.1,82,858,4
4,1.00004,1.00080,1.00079,1.00007,26.1,83,858,4
5,1.00000,1.00077,1.00077,1.00000,26.2,83,858,4
6,2.00000,2.00177,2.00187,2.00000,26.2,83,858,4
7,2.00000,2.00187,2.00189,2.00000,26.2,83,858,4
8,2.00000,2.00187,2.00190,2.00000,26.2,83,858,4
9,2.00005,2.00190,2.00191,2.00005,26.3,83,858,4
10,2.00000,2.00187,2.00189,2.00000,26.3,83,858,4
11,2.00000,2.00230,2.00229,2.00000,26.3,83,858,4
12,2.00004,2.00233,2.00234,2.00000,26.3,83,858,4
13,2.00003,2.00231,2.00233,2.00000,26.3,83,858,4
14,2.00000,2.00230,2.00231,2.00003,26.4,83,858,4
15,2.00000,2.00232,2.00231,2.00000,26.4,83,858,4
16,5.00005,5.00145,5.00144,4.99998,26.3,83,858,4
17,4.99997,5.00141,5.00148,5.00000,26.3,83,858,4
18,5.00000,5.00145,5.00142,5.00000,26.3,83,858,4
19,5.00001,5.00151,5.00145,5.00006,26.4,83,858,4
20,5.00006,5.00141,5.00145,5.00002,26.4,84,858,4
21,10.00003,10.00417,10.00410,10.00004,26.5,84,858,4
22,10.00000,10.00410,10.00408,10.00000,26.5,83,858,4
23,10.00000,10.00407,10.00410,10.00007,26.5,83,858,4
24,10.00010,10.00410,10.00412,10.00006,26.5,83,858,4
25,10.00006,10.00412,10.00410,10.00000,26.5,83,858,4
26,20.00005,20.00530,20.00521,20.00012,26.6,83,858,4
27,20.00009,20.00525,20.00523,20.00009,26.5,83,858,4
28,20.00005,20.00520,20.00520,20.00010,26.6,83,858,4
29,20.00004,20.00520,20.00525,20.00008,26.5,83,858,4
30,20.00006,20.00525,20.00520,20.00010,26.5,83,858,4
31,50.00021,50.00862,50.00864,50.00008,26.5,83,858,4
32,50.00013,50.00860,50.00851,50.00011,26.5,83,858,4
33,50.00012,50.00860,50.00862,50.00007,26.5,83,858,4
34,50.00013,50.00859,50.00854,50.00003,26.5,83,858,4
35,50.00013,50.00855,50.00864,50.00004,26.5,83,858,4
